ID	Name	Host	Group	Collapse
PLV-YSL2	PLV-YSL2	MAG		PLV-YSL2, YSL5, YSL4, YSL6
PLV-YSL3	PLV-YSL3	MAG		PLV-YSL3, Soyang458, Soyang530
PLV-YSL4	PLV-YSL4	MAG		PLV-YSL2, YSL5, YSL4, YSL6
PLV-YSL5	PLV-YSL5	MAG		PLV-YSL2, YSL5, YSL4, YSL6
PLV-YSL6	PLV-YSL6	MAG		PLV-YSL2, YSL5, YSL4, YSL6
PoV-01B	Pyramimonas orientalis virus	Chlorophyta	Mimiviridae: Mesomimiviruses	
Powai_lake_megavirus	Powai lake megavirus	Amoebozoa	Mimiviridae: Megavirinae	Mimiviridae s.s.
PRJNA534927	Phaeocystis rex	Haptophyta		Phaeocystis rex
PsEV1a	Pleurochrysis sp. endemic virus 1a	Haptophyta		
PsEV1b	Pleurochrysis sp. endemic virus 1b	Haptophyta		
PsEV2	Pleurochrysis sp. endemic virus 2	Haptophyta		
RG_SymbC1	Cladocopium goreaui	Dinoflagellata		
Satyrvirus	Satyrvirus	MAG	Mimiviridae: Megavirinae	Mimiviridae s.s.
Scale_drop_disease_virus	Scale drop disease virus	Animals	Irido+Ascoviridae	Marseille-/Irido-/Ascoviridae
Shrimp_hemocyte_iridescent_virus	Shrimp hemocyte iridescent virus	Animals	Irido+Ascoviridae	Marseille-/Irido-/Ascoviridae
Soyang317	Soyang317	MAG		Han884, Han847, Soyang317, Soyang406
Soyang406	Soyang406	MAG		Han884, Han847, Soyang317, Soyang406
Soyang458	Soyang458	MAG		PLV-YSL3, Soyang458, Soyang530
Soyang530	Soyang530	MAG		PLV-YSL3, Soyang458, Soyang530
TARA-BBMO-MAST-1D-sp2	MAST-1D sp. 2	Stramenopiles		
TARA-BBMO-MAST-4A-sp1	MAST-4A sp. 1	Stramenopiles		
Terrestrivirus	Terrestrivirus	MAG	Mimiviridae: Klosneuvirinae	Mimiviridae s.s.
TetV	Tetraselmis virus 1	Chlorophyta	Mimiviridae: Mesomimiviruses	
Tunisvirus_fontaine2_U484	Tunisvirus fontaine2 U484	Amoebozoa	Marseilleviridae	Marseille-/Irido-/Ascoviridae
Tupanvirus_deep_ocean	Tupanvirus deep ocean	Amoebozoa	Mimiviridae: Megavirinae	Mimiviridae s.s.
Tupanvirus_soda_lake	Tupanvirus soda lake	Amoebozoa	Mimiviridae: Megavirinae	Mimiviridae s.s.
TVV-N1	TVV-N1	Chlorophyta		TVS
Yasminevirus	Yasminevirus	Amoebozoa	Mimiviridae: Klosneuvirinae	Mimiviridae s.s.
Yellowstone_lake_phycodnavirus_1	Yellowstone lake phycodnavirus 1	MAG	Phycodnaviridae: Prasinovirus	Phycodnaviridae: Prasinovirus
Yellowstone_lake_phycodnavirus_2	Yellowstone lake phycodnavirus 2	MAG	Phycodnaviridae: Prasinovirus	Phycodnaviridae: Prasinovirus
Yellowstone_lake_phycodnavirus_3	Yellowstone lake phycodnavirus 3	MAG	Phycodnaviridae: Prasinovirus	Phycodnaviridae: Prasinovirus
YSLGV	Yellowstone lake mimivirus	MAG	Mimiviridae: Mesomimiviruses	
